timestamp_ms,x,y,velocity_north_ms,velocity_east_ms,heading_deg,acceleration_north_ms2,acceleration_east_ms2,goal_id,utm_x,utm_y
1530500,-978487.8596342185,8850185.986948542,-7.60102789149962,-5.8437696261503564,232.44644642673157,-0.0001005474958795105,0.00013078217790862823,0,-978487.8596342185,8850185.986948542
1530750,-978489.3205708361,8850184.08668712,-7.601045694142197,-5.84374647006824,232.4466209747323,-7.121057030801126e-05,9.262432846668389e-05,0,-978489.3205708361,8850184.08668712
1531000,-978490.781503353,8850182.186422544,-7.601058304241456,-5.843730067892821,232.44674461227962,-5.044039703605563e-05,6.560870167504618e-05,0,-978490.781503353,8850182.186422544
1531250,-978492.2424329651,8850180.286155734,-7.6010672375898904,-5.84371844808682,232.44683220080017,-3.5733393737302777e-05,4.6479224003803665e-05,0,-978492.2424329651,8850180.286155734
1531500,-978493.7033605189,8850178.385887342,-7.601073567147518,-5.8437102150674765,232.44689426012022,-2.5318230509441264e-05,3.293207737442572e-05,0,-978493.7033605189,8850178.385887342
1531750,-978495.1642866142,8850176.485617828,-7.601078052501888,-5.843704380839841,232.44693823766087,-1.7941417482347788e-05,2.3336910540905365e-05,0,-978495.1642866142,8850176.485617828
1532000,-978496.6252116757,8850174.58534752,-7.601081231470823,-5.843700245859181,232.44696940651465,-1.2715875737256965e-05,1.6539922640390614e-05,0,-978496.6252116757,8850174.58534752
1532250,-978498.0861360043,8850172.685076648,-7.601083484904571,-5.8436973147472004,232.44699150078205,-9.013734992180389e-06,1.1724447922745185e-05,0,-978498.0861360043,8850172.685076648
1532500,-978499.5470598135,8850170.784805378,-7.60108508251697,-5.843695236681209,232.44700716491707,-6.390449595272685e-06,8.312263965137845e-06,0,-978499.5470598135,8850170.784805378
1532750,-978501.0079832543,8850168.884533824,-7.601086215363217,-5.843693763150832,232.44701827215562,-4.531384988126774e-06,5.894121507310501e-06,0,-978501.0079832543,8850168.884533824
1533000,-978502.4689064338,8850166.98426207,-7.6010870187856785,-5.843692718112452,232.44702614948838,-3.213689847569867e-06,4.180153521105012e-06,0,-978502.4689064338,8850166.98426207
1533250,-978503.929829428,8850165.083990173,-7.601087588675879,-5.843691976837088,232.44703173710343,-2.2795608032311065e-06,2.9651014550324817e-06,0,-978503.929829428,8850165.083990173
1533500,-978505.3907522907,8850163.183718175,-7.601087992992212,-5.843691450929136,232.44703570131315,-1.6172653296564476e-06,2.1036318074152405e-06,0,-978505.3907522907,8850163.183718175
1533750,-978506.8516750601,8850161.283446105,-7.601088279885858,-5.843691077756805,232.44703851422616,-1.147574586468636e-06,1.492689325033325e-06,0,-978506.8516750601,8850161.283446105
1534000,-978508.3125977634,8850159.383173984,-7.601088483501649,-5.843690812906792,232.44704051062288,-8.144631635786936e-07,1.0594000521280122e-06,0,-978508.3125977634,8850159.383173984
1534250,-978509.7735204196,8850157.482901827,-7.601088628034506,-5.843690624907959,232.44704192772775,-5.781314271757765e-07,7.519953335588525e-07,0,-978509.7735204196,8850157.482901827
1534500,-978511.2344430424,8850155.582629643,-7.601088730651843,-5.84369049143007,232.44704293386255,-4.1046934740052166e-07,5.339115567437602e-07,0,-978511.2344430424,8850155.582629643
1534750,-978512.6953656416,8850153.682357442,-7.601088803521175,-5.843690396646428,232.44704364832634,-2.9147732760748113e-07,3.791345655201894e-07,0,-978512.6953656416,8850153.682357442
1535000,-978514.1562882239,8850151.782085229,-7.601088855273957,-5.843690329329806,232.44704415574813,-2.0701113001564408e-07,2.6926648999392455e-07,0,-978514.1562882239,8850151.782085229
1535250,-978515.6172107942,8850149.881813006,-7.6010888920470325,-5.843690281497802,232.44704451629806,-1.4709230100606874e-07,1.9132801654109244e-07,0,-978515.6172107942,8850149.881813006
1535500,-978517.0781333561,8850147.981540777,-7.6010889181827075,-5.84369024750223,232.44704477255118,-1.0454269983029008e-07,1.3598228676414692e-07,0,-978517.0781333561,8850147.981540777
1535750,-978518.5390559119,8850146.081268543,-7.601088936757501,-5.843690223341358,232.44704495467195,-7.429917303625189e-08,9.6643486102721e-08,0,-978518.5390559119,8850146.081268543
1536000,-978519.9999784635,8850144.180996306,-7.601088949968726,-5.8436902061570635,232.4470450842044,-5.284490001145059e-08,6.873717950384162e-08,0,-978519.9999784635,8850144.180996306
1536250,-978521.460901012,8850142.280724067,-7.601088959366127,-5.84369019393354,232.4470451763433,-3.75896043181001e-08,4.889409410679946e-08,0,-978521.460901012,8850142.280724067
1536500,-978522.9218235583,8850140.380451826,-7.601088966055894,-5.843690185231929,232.44704524193463,-2.6759067850434803e-08,3.4806443949264576e-08,0,-978522.9218235583,8850140.380451826
1536750,-978524.382746103,8850138.480179584,-7.6010889708204665,-5.8436901790344855,232.44704528865,-1.905829094539513e-08,2.4789773789279934e-08,0,-978524.382746103,8850138.480179584
1537000,-978525.8436686466,8850136.57990734,-7.601088974210571,-5.843690174624863,232.447045321889,-1.356041678945985e-08,1.7638491556226654e-08,0,-978525.8436686466,8850136.57990734
1537250,-978527.3045911895,8850134.679635096,-7.601088976630099,-5.843690171477697,232.44704534561183,-9.678114309963348e-09,1.2588660780465943e-08,0,-978527.3045911895,8850134.679635096
1537500,-978528.7655137317,8850132.779362852,-7.601088978349382,-5.843690169241368,232.44704536246894,-6.877129976601282e-09,8.945317375719242e-09,0,-978528.7655137317,8850132.779362852
1537750,-978530.2264362737,8850130.879090607,-7.6010889795734835,-5.843690167649136,232.4470453744709,-4.896406835541711e-09,6.368928495703585e-09,0,-978530.2264362737,8850130.879090607
1538000,-978531.6873588153,8850128.978818363,-7.60108898044807,-5.843690166511531,232.44704538304597,-3.498346501373817e-09,4.550418708504367e-09,0,-978531.6873588153,8850128.978818363
1538250,-978533.1482813568,8850127.078546118,-7.601088981076188,-5.843690165694516,232.4470453892045,-2.5124720082203567e-09,3.2680596007139684e-09,0,-978533.1482813568,8850127.078546118
1538500,-978534.6092038981,8850125.178273873,-7.601088981529866,-5.843690165104402,232.44704539365273,-1.8147119362765807e-09,2.360458495331841e-09,0,-978534.6092038981,8850125.178273873
1538750,-978536.0701264393,8850123.278001629,-7.601088981860704,-5.84369016467407,232.44704539689644,-1.3233503182163986e-09,1.7213253045156307e-09,0,-978536.0701264393,8850123.278001629
1539000,-978537.5310489804,8850121.377729382,-7.6010889821047485,-5.843690164356633,232.44704539928927,-9.761791375240136e-10,1.2697505269443354e-09,0,-978537.5310489804,8850121.377729382
1539250,-978538.9919715214,8850119.477457136,-7.601088982270944,-5.8436901641404555,232.4470454009188,-6.647837835771497e-10,8.647091931379691e-10,0,-978538.9919715214,8850119.477457136
